tGroup,round,epoch,target,outcome,probX,probY,probZ
1-0,5,196,0,0,0.49,0.41,0.19
1-0,5,197,1,1,0.36,0.40,0.27
1-0,5,198,2,1,0.18,0.41,0.36
1-0,5,199,0,0,0.50,0.39,0.20
1-0,5,200,0,0,0.50,0.33,0.23
1-0,5,201,0,0,0.57,0.31,0.25
1-0,5,202,0,0,0.55,0.29,0.23
1-0,5,203,1,1,0.36,0.39,0.25
1-0,5,204,2,0,0.38,0.29,0.31
1-0,5,205,0,0,0.59,0.31,0.25
1-0,5,206,0,0,0.61,0.29,0.24
1-0,5,207,2,2,0.27,0.29,0.37
1-0,5,208,2,0,0.46,0.28,0.35
1-0,5,209,0,0,0.55,0.25,0.28
1-0,5,210,0,0,0.61,0.23,0.25
1-0,5,211,0,0,0.67,0.26,0.20
1-0,5,212,0,0,0.66,0.21,0.23
1-0,5,213,1,0,0.42,0.30,0.24
1-0,5,214,0,0,0.62,0.24,0.23
1-0,5,215,0,0,0.71,0.26,0.17
1-0,5,216,0,0,0.64,0.27,0.24
1-0,5,217,1,0,0.56,0.30,0.23
1-0,5,218,1,0,0.51,0.34,0.22
1-0,5,219,1,0,0.37,0.34,0.24
1-0,5,220,0,0,0.64,0.30,0.19
1-0,5,221,1,1,0.36,0.42,0.21
1-0,5,222,0,0,0.59,0.32,0.18
1-0,5,223,1,0,0.43,0.41,0.22
1-0,5,224,0,0,0.62,0.34,0.15
1-0,5,225,2,0,0.48,0.36,0.25
1-0,5,226,2,1,0.38,0.47,0.19
1-0,5,227,0,0,0.63,0.31,0.16
1-0,5,228,2,2,0.24,0.30,0.36
1-0,5,229,2,0,0.37,0.23,0.35
1-0,5,230,1,0,0.39,0.35,0.29
1-0,5,231,0,0,0.49,0.33,0.28
1-0,5,232,2,2,0.36,0.24,0.37
1-0,5,233,2,2,0.28,0.25,0.40
1-0,5,234,1,1,0.28,0.36,0.30
1-0,5,235,0,0,0.58,0.30,0.23
1-0,5,236,0,0,0.61,0.28,0.22
1-0,5,237,1,0,0.36,0.34,0.35
1-0,5,238,2,2,0.33,0.26,0.39
1-0,5,239,2,2,0.19,0.30,0.49
1-0,5,240,0,0,0.59,0.28,0.25
1-0,5,241,1,1,0.28,0.37,0.34
1-0,5,242,2,2,0.31,0.25,0.44
1-0,5,243,2,1,0.30,0.43,0.33
1-0,5,244,2,2,0.28,0.22,0.53
1-0,5,245,1,2,0.32,0.30,0.45
1-0,5,246,2,2,0.30,0.30,0.50
1-0,5,247,0,0,0.45,0.31,0.44
1-0,5,248,1,2,0.23,0.32,0.43
1-0,5,249,0,0,0.54,0.30,0.26
1-0,5,250,2,1,0.29,0.41,0.34
1-0,5,251,2,2,0.32,0.27,0.51
1-0,5,252,2,2,0.25,0.20,0.58
1-0,5,253,0,0,0.51,0.22,0.44
1-0,5,254,1,2,0.27,0.30,0.50
1-0,5,255,2,2,0.25,0.22,0.55
1-0,5,256,0,0,0.54,0.26,0.31
1-0,5,257,0,0,0.52,0.21,0.36
1-0,5,258,2,2,0.31,0.36,0.37
1-0,5,259,2,2,0.17,0.23,0.63
1-0,5,260,1,2,0.25,0.30,0.41
1-0,5,261,1,2,0.22,0.35,0.43
1-0,5,262,2,2,0.15,0.28,0.60
1-0,5,263,1,2,0.21,0.38,0.42
1-0,5,264,2,1,0.25,0.44,0.37
1-0,5,265,0,0,0.45,0.24,0.39
1-0,5,266,2,2,0.27,0.39,0.40
1-0,5,267,0,0,0.54,0.21,0.42
1-0,5,268,1,2,0.23,0.34,0.43
1-0,5,269,0,0,0.59,0.26,0.27
1-0,5,270,1,2,0.24,0.37,0.38
1-0,5,271,1,2,0.28,0.38,0.41
1-0,5,272,2,2,0.22,0.30,0.45
1-0,5,273,1,2,0.31,0.36,0.38
1-0,5,274,0,0,0.56,0.34,0.22
1-0,5,275,2,2,0.15,0.33,0.53
1-0,5,276,2,2,0.31,0.32,0.47
1-0,5,277,1,1,0.20,0.43,0.40
1-0,5,278,0,0,0.50,0.28,0.31
1-0,5,279,2,2,0.15,0.32,0.56
1-0,5,280,2,2,0.22,0.27,0.52
1-0,5,281,0,0,0.54,0.24,0.35
1-0,5,282,2,2,0.16,0.28,0.61
1-0,5,283,0,0,0.62,0.25,0.28
1-0,5,284,2,2,0.25,0.23,0.55
1-0,5,285,1,2,0.24,0.36,0.43
1-0,5,286,1,1,0.32,0.39,0.39
1-0,5,287,0,0,0.51,0.27,0.32
1-0,5,288,1,1,0.24,0.44,0.36
1-0,5,289,0,0,0.63,0.32,0.21
1-0,5,290,2,2,0.35,0.33,0.44
1-0,5,291,1,2,0.27,0.40,0.42
1-0,5,292,2,2,0.27,0.27,0.50
1-0,5,293,2,2,0.20,0.29,0.53
1-0,5,294,0,0,0.54,0.25,0.33
1-0,5,295,1,1,0.24,0.43,0.33
1-0,5,296,2,2,0.15,0.33,0.60
1-0,5,297,0,0,0.57,0.25,0.31
1-0,5,298,2,1,0.29,0.45,0.34
1-0,5,299,0,0,0.60,0.22,0.33
1-0,5,300,0,0,0.56,0.23,0.32
1-0,5,301,1,1,0.28,0.38,0.32
1-0,5,302,2,2,0.32,0.22,0.53
1-0,5,303,2,2,0.16,0.28,0.63
1-0,5,304,0,0,0.62,0.21,0.32
1-0,5,305,0,0,0.65,0.21,0.34
1-0,5,306,0,0,0.66,0.22,0.31
1-0,5,307,0,0,0.58,0.26,0.31
1-0,5,308,2,2,0.39,0.18,0.51
1-0,5,309,1,0,0.39,0.34,0.34
1-0,5,310,0,0,0.56,0.28,0.30
1-0,5,311,1,1,0.29,0.38,0.32
1-0,5,312,2,1,0.34,0.43,0.29
1-0,5,313,2,1,0.31,0.39,0.33
1-0,5,314,2,2,0.16,0.23,0.64
1-0,5,315,1,2,0.23,0.36,0.41
1-0,5,316,2,2,0.29,0.20,0.58
1-0,5,317,0,0,0.61,0.20,0.33
1-0,5,318,0,0,0.65,0.20,0.33
1-0,5,319,0,0,0.70,0.22,0.22
1-0,5,320,1,0,0.37,0.34,0.34
1-0,5,321,2,1,0.30,0.40,0.33
1-0,5,322,2,1,0.28,0.37,0.37
1-0,5,323,0,0,0.66,0.21,0.26
1-0,5,324,1,2,0.23,0.35,0.41
1-0,5,325,0,0,0.57,0.21,0.30
1-0,5,326,1,2,0.36,0.29,0.38
1-0,5,327,0,0,0.57,0.29,0.31
1-0,5,328,1,2,0.30,0.37,0.37
1-0,5,329,2,2,0.30,0.22,0.49
1-0,5,330,0,0,0.65,0.22,0.25
1-0,5,331,0,0,0.59,0.29,0.29
1-0,5,332,0,0,0.70,0.20,0.22
1-0,5,333,0,0,0.65,0.21,0.23
1-0,5,334,2,2,0.20,0.25,0.55
1-0,5,335,1,2,0.34,0.34,0.36
1-0,5,336,2,2,0.34,0.21,0.49
1-0,5,337,2,2,0.35,0.28,0.45
1-0,5,338,0,0,0.60,0.21,0.28
1-0,5,339,1,2,0.29,0.36,0.40
1-0,5,340,2,1,0.29,0.43,0.31
1-0,5,341,1,2,0.23,0.34,0.38
1-0,5,342,0,0,0.57,0.31,0.30
1-0,5,343,2,1,0.28,0.42,0.31
1-0,5,344,1,1,0.21,0.41,0.35
1-0,5,345,2,2,0.14,0.29,0.61
1-0,5,346,0,0,0.64,0.22,0.29
1-0,5,347,0,0,0.67,0.19,0.25
1-0,5,348,2,2,0.24,0.23,0.52
1-0,5,349,0,0,0.67,0.20,0.29
1-0,5,350,0,0,0.71,0.17,0.25
1-0,5,351,2,2,0.33,0.17,0.55
1-0,5,352,2,2,0.31,0.17,0.59
1-0,5,353,2,2,0.22,0.20,0.61
1-0,5,354,0,0,0.61,0.18,0.32
1-0,5,355,0,0,0.73,0.19,0.23
1-0,5,356,2,2,0.24,0.18,0.61
1-0,5,357,2,2,0.30,0.15,0.66
1-0,5,358,2,2,0.14,0.20,0.73
1-0,5,359,2,2,0.32,0.21,0.60
1-0,5,360,2,2,0.26,0.14,0.72
1-0,5,361,0,0,0.65,0.13,0.40
1-0,5,362,2,2,0.27,0.30,0.47
1-0,5,363,0,0,0.58,0.18,0.45
1-0,5,364,1,2,0.24,0.28,0.43
1-0,5,365,2,2,0.31,0.21,0.60
1-0,5,366,1,2,0.22,0.31,0.42
1-0,5,367,1,2,0.21,0.36,0.39
1-0,5,368,1,2,0.27,0.38,0.40
1-0,5,369,0,0,0.54,0.29,0.33
1-0,5,370,2,1,0.24,0.41,0.37
1-0,5,371,1,1,0.18,0.41,0.41
1-0,5,372,2,1,0.22,0.43,0.38
1-0,5,373,0,0,0.63,0.18,0.32
1-0,5,374,0,0,0.66,0.17,0.29
1-0,5,375,2,2,0.25,0.38,0.39
1-0,5,376,0,0,0.68,0.15,0.31
1-0,5,377,2,2,0.30,0.23,0.57
1-0,5,378,2,2,0.19,0.18,0.67
1-0,5,379,2,2,0.25,0.15,0.71
1-0,5,380,0,0,0.66,0.14,0.36
1-0,5,381,1,2,0.19,0.35,0.45
1-0,5,382,1,2,0.30,0.28,0.44
1-0,5,383,2,2,0.26,0.28,0.56
1-0,5,384,1,2,0.18,0.34,0.45
1-0,5,385,0,0,0.67,0.25,0.20
1-0,5,386,0,0,0.66,0.20,0.29
1-0,5,387,1,1,0.27,0.41,0.35
1-0,5,388,1,1,0.26,0.45,0.33
1-0,5,389,0,0,0.68,0.29,0.16
1-0,5,390,1,1,0.21,0.47,0.37
1-0,5,391,2,1,0.22,0.52,0.30
1-0,5,392,0,0,0.68,0.27,0.16
1-0,5,393,0,0,0.58,0.31,0.27
1-0,5,394,2,2,0.26,0.21,0.57
1-0,5,395,0,0,0.70,0.19,0.23
1-0,5,396,1,1,0.22,0.38,0.36
1-0,5,397,0,0,0.68,0.24,0.22
1-0,5,398,1,1,0.20,0.49,0.29
1-0,5,399,1,1,0.28,0.49,0.27
1-0,5,400,2,1,0.23,0.53,0.28
1-0,5,401,0,0,0.68,0.24,0.22
1-0,5,402,1,1,0.18,0.52,0.29
1-0,5,403,0,0,0.72,0.29,0.13
1-0,5,404,2,2,0.19,0.30,0.51
1-0,5,405,0,0,0.55,0.32,0.25
1-0,5,406,0,0,0.74,0.20,0.19
1-0,5,407,2,2,0.29,0.21,0.55
1-0,5,408,1,1,0.30,0.44,0.30
1-0,5,409,0,0,0.56,0.32,0.24
1-0,5,410,1,1,0.25,0.46,0.35
1-0,5,411,2,1,0.25,0.50,0.28
1-0,5,412,2,2,0.26,0.22,0.58
1-0,5,413,1,1,0.20,0.48,0.28
1-0,5,414,2,2,0.17,0.29,0.58
1-0,5,415,0,0,0.60,0.31,0.28
1-0,5,416,1,1,0.18,0.50,0.33
1-0,5,417,2,2,0.11,0.33,0.66
1-0,5,418,0,0,0.71,0.21,0.24
1-0,5,419,2,2,0.12,0.30,0.68
1-0,5,420,1,1,0.31,0.36,0.36
1-0,5,421,1,1,0.17,0.54,0.31
1-0,5,422,0,0,0.70,0.24,0.21
1-0,5,423,2,2,0.24,0.24,0.58
1-0,5,424,0,0,0.61,0.32,0.25
1-0,5,425,0,0,0.76,0.25,0.14
1-0,5,426,1,1,0.32,0.38,0.32
1-0,5,427,2,2,0.11,0.33,0.65
1-0,5,428,0,0,0.73,0.21,0.20
1-0,5,429,1,1,0.23,0.49,0.35
1-0,5,430,2,2,0.25,0.24,0.57
1-0,5,431,1,1,0.17,0.56,0.29
1-0,5,432,0,0,0.72,0.24,0.19
1-0,5,433,1,1,0.20,0.48,0.30
1-0,5,434,1,1,0.25,0.57,0.25
1-0,5,435,1,1,0.16,0.65,0.24
1-0,5,436,0,0,0.71,0.30,0.15
1-0,5,437,2,2,0.23,0.30,0.53
1-0,5,438,0,0,0.74,0.32,0.12
1-0,5,439,0,0,0.73,0.26,0.18
1-0,5,440,2,1,0.23,0.55,0.27
1-0,5,441,1,1,0.19,0.55,0.24
1-0,5,442,1,1,0.16,0.60,0.27
1-0,5,443,0,0,0.74,0.31,0.12
1-0,5,444,1,1,0.20,0.57,0.31
1-0,5,445,1,1,0.27,0.50,0.26
1-0,5,446,2,2,0.09,0.43,0.60
1-0,5,447,1,1,0.17,0.56,0.28
1-0,5,448,0,0,0.70,0.30,0.17
1-0,5,449,0,0,0.62,0.39,0.18
1-0,5,450,1,1,0.19,0.62,0.18
1-0,5,451,0,0,0.57,0.41,0.17
1-0,5,452,0,0,0.78,0.30,0.10
1-0,5,453,0,0,0.69,0.27,0.14
1-0,5,454,2,2,0.29,0.24,0.51
1-0,5,455,1,1,0.19,0.59,0.23
1-0,5,456,0,0,0.79,0.28,0.10
1-0,5,457,1,1,0.19,0.61,0.22
1-0,5,458,0,0,0.79,0.29,0.10
1-0,5,459,2,2,0.12,0.37,0.60
1-0,5,460,0,0,0.80,0.26,0.11
1-0,5,461,2,2,0.20,0.29,0.52
1-0,5,462,1,1,0.22,0.55,0.21
1-0,5,463,2,1,0.24,0.54,0.27
1-0,5,464,0,0,0.74,0.21,0.20
1-0,5,465,2,2,0.18,0.26,0.59
1-0,5,466,1,1,0.21,0.49,0.37
1-0,5,467,1,1,0.20,0.54,0.34
1-0,5,468,1,1,0.28,0.46,0.29
1-0,5,469,1,1,0.17,0.56,0.28
1-0,5,470,0,0,0.63,0.31,0.16
1-0,5,471,0,0,0.78,0.30,0.10
1-0,5,472,1,1,0.25,0.60,0.22
1-0,5,473,0,0,0.73,0.28,0.15
1-0,5,474,1,1,0.19,0.65,0.17
1-0,5,475,2,1,0.21,0.63,0.23
1-0,5,476,2,2,0.16,0.34,0.55
1-0,5,477,0,0,0.77,0.26,0.12
1-0,5,478,0,0,0.66,0.31,0.21
1-0,5,479,0,0,0.76,0.21,0.18
1-0,5,480,0,0,0.70,0.28,0.19
1-0,5,481,0,0,0.82,0.21,0.11
1-0,5,482,2,1,0.26,0.48,0.27
1-0,5,483,2,1,0.24,0.44,0.31
1-0,5,484,1,1,0.20,0.39,0.35
1-0,5,485,0,0,0.78,0.15,0.20
1-0,5,486,0,0,0.81,0.18,0.13
1-0,5,487,2,2,0.27,0.17,0.64
1-0,5,488,0,0,0.81,0.18,0.14
1-0,5,489,0,0,0.63,0.23,0.23
1-0,5,490,1,1,0.19,0.49,0.29
1-0,5,491,2,2,0.27,0.17,0.64
1-0,5,492,2,2,0.11,0.27,0.72
1-0,5,493,1,1,0.21,0.46,0.38
1-0,5,494,2,2,0.24,0.18,0.66
1-0,5,495,1,1,0.16,0.55,0.30
1-0,5,496,1,1,0.27,0.42,0.32
1-0,5,497,0,0,0.66,0.24,0.18
1-0,5,498,0,0,0.78,0.18,0.18
1-0,5,499,2,2,0.10,0.33,0.69
1-0,5,500,0,0,0.70,0.20,0.18
1-0,5,501,2,1,0.23,0.49,0.31
1-0,5,502,2,2,0.24,0.17,0.69
1-0,5,503,0,0,0.81,0.18,0.15
1-0,5,504,0,0,0.81,0.17,0.14
1-0,5,505,2,1,0.22,0.43,0.37
1-0,5,506,1,1,0.16,0.48,0.36
1-0,5,507,1,1,0.18,0.48,0.41
1-0,5,508,1,1,0.15,0.57,0.30
1-0,5,509,1,1,0.15,0.60,0.28
1-0,5,510,0,0,0.77,0.19,0.19
1-0,5,511,0,0,0.69,0.22,0.17
1-0,5,512,1,1,0.29,0.44,0.29
1-0,5,513,2,2,0.23,0.41,0.46
1-0,5,514,1,1,0.16,0.52,0.31
1-0,5,515,0,0,0.77,0.20,0.18
1-0,5,516,0,0,0.76,0.22,0.17
1-0,5,517,0,0,0.79,0.18,0.16
1-0,5,518,1,1,0.18,0.53,0.27
1-0,5,519,2,2,0.15,0.33,0.58
1-0,5,520,1,1,0.15,0.65,0.25
1-0,5,521,0,0,0.76,0.23,0.16
1-0,5,522,1,1,0.18,0.64,0.19
1-0,5,523,1,1,0.17,0.59,0.26
1-0,5,524,0,0,0.68,0.35,0.17
1-0,5,525,0,0,0.70,0.33,0.16
1-0,5,526,0,0,0.83,0.24,0.09
1-0,5,527,0,0,0.82,0.18,0.14
1-0,5,528,0,0,0.74,0.22,0.13
1-0,5,529,0,0,0.84,0.17,0.13
1-0,5,530,0,0,0.83,0.17,0.13
1-0,5,531,0,0,0.83,0.19,0.13
1-0,5,532,1,1,0.23,0.58,0.24
1-0,5,533,0,0,0.76,0.22,0.12
1-0,5,534,0,0,0.85,0.17,0.12
1-0,5,535,0,0,0.70,0.29,0.13
1-0,5,536,2,1,0.28,0.52,0.21
1-0,5,537,0,0,0.86,0.13,0.13
1-0,5,538,1,1,0.23,0.47,0.23
1-0,5,539,2,2,0.20,0.28,0.53
1-0,5,540,1,1,0.33,0.42,0.24
1-0,5,541,0,0,0.74,0.27,0.15
1-0,5,542,1,1,0.20,0.53,0.23
1-0,5,543,1,1,0.17,0.66,0.19
1-0,5,544,0,0,0.85,0.23,0.08
1-0,5,545,2,2,0.26,0.23,0.57
1-0,5,546,0,0,0.74,0.22,0.13
1-0,5,547,2,2,0.10,0.35,0.67
1-0,5,548,2,2,0.26,0.37,0.45
1-0,5,549,2,2,0.16,0.26,0.64
1-0,5,550,0,0,0.84,0.17,0.12
1-0,5,551,0,0,0.81,0.15,0.18
1-0,5,552,2,2,0.10,0.28,0.74
1-0,5,553,0,0,0.85,0.16,0.12
1-0,5,554,2,2,0.10,0.26,0.75
1-0,5,555,0,0,0.83,0.11,0.20
1-0,5,556,2,1,0.22,0.43,0.34
1-0,5,557,0,0,0.75,0.13,0.20
1-0,5,558,2,1,0.22,0.39,0.38
1-0,5,559,2,2,0.10,0.20,0.82
1-0,5,560,2,2,0.21,0.35,0.44
1-0,5,561,2,2,0.16,0.15,0.79
1-0,5,562,0,0,0.66,0.15,0.31
1-0,5,563,1,1,0.16,0.43,0.40
1-0,5,564,2,2,0.24,0.11,0.78
1-0,5,565,0,0,0.74,0.15,0.28
1-0,5,566,1,2,0.18,0.36,0.40
1-0,5,567,0,0,0.75,0.13,0.21
1-0,5,568,1,2,0.30,0.33,0.36
1-0,5,569,1,1,0.17,0.53,0.25
1-0,5,570,1,1,0.16,0.49,0.32
1-0,5,571,0,0,0.81,0.14,0.18
1-0,5,572,2,2,0.09,0.30,0.75
1-0,5,573,2,2,0.22,0.17,0.71
1-0,5,574,1,1,0.25,0.42,0.32
1-0,5,575,2,2,0.08,0.32,0.77
1-0,5,576,2,2,0.20,0.18,0.73
1-0,5,577,0,0,0.62,0.26,0.21
1-0,5,578,0,0,0.82,0.13,0.19
1-0,5,579,2,2,0.21,0.16,0.73
1-0,5,580,1,1,0.13,0.60,0.29
1-0,5,581,0,0,0.81,0.13,0.19
1-0,5,582,1,1,0.14,0.62,0.26
1-0,5,583,2,2,0.20,0.18,0.71
1-0,5,584,0,0,0.64,0.27,0.19
1-0,5,585,1,1,0.14,0.63,0.26
1-0,5,586,2,2,0.14,0.27,0.67
1-0,5,587,1,1,0.16,0.54,0.30
1-0,5,588,0,0,0.80,0.18,0.16
1-0,5,589,2,2,0.08,0.32,0.76
1-0,5,590,0,0,0.66,0.27,0.18
1-0,5,591,1,1,0.15,0.63,0.24
1-0,5,592,0,0,0.75,0.24,0.17
1-0,5,593,1,1,0.24,0.57,0.23
1-0,5,594,1,1,0.17,0.66,0.18
1-0,5,595,1,1,0.14,0.70,0.21
1-0,5,596,2,2,0.08,0.36,0.73
1-0,5,597,2,2,0.21,0.20,0.69
1-0,5,598,1,1,0.25,0.50,0.27
1-0,5,599,1,1,0.23,0.54,0.26
1-0,5,600,0,0,0.71,0.26,0.13
1-0,5,601,2,2,0.07,0.38,0.73
1-0,5,602,2,2,0.19,0.21,0.70
1-0,5,603,1,1,0.19,0.64,0.23
1-0,5,604,0,0,0.83,0.23,0.09
1-0,5,605,0,0,0.81,0.17,0.15
1-0,5,606,0,0,0.64,0.32,0.15
1-0,5,607,1,1,0.25,0.51,0.25
1-0,5,608,2,2,0.19,0.44,0.48
1-0,5,609,1,1,0.12,0.70,0.23
1-0,5,610,0,0,0.84,0.22,0.09
1-0,5,611,2,2,0.19,0.20,0.71
1-0,5,612,1,1,0.19,0.64,0.23
1-0,5,613,0,0,0.71,0.28,0.16
1-0,5,614,0,0,0.82,0.16,0.15
1-0,5,615,0,0,0.85,0.20,0.08
1-0,5,616,0,0,0.82,0.17,0.13
1-0,5,617,2,2,0.20,0.18,0.71
1-0,5,618,0,0,0.85,0.19,0.09
1-0,5,619,2,2,0.19,0.17,0.72
1-0,5,620,1,1,0.13,0.68,0.23
1-0,5,621,0,0,0.75,0.19,0.13
1-0,5,622,2,2,0.13,0.27,0.68
1-0,5,623,0,0,0.83,0.13,0.17
1-0,5,624,0,0,0.84,0.13,0.16
1-0,5,625,2,2,0.08,0.29,0.78
1-0,5,626,1,1,0.16,0.63,0.19
1-0,5,627,2,2,0.19,0.16,0.74
1-0,5,628,0,0,0.67,0.26,0.16
1-0,5,629,2,1,0.19,0.52,0.31
1-0,5,630,2,1,0.18,0.48,0.36
1-0,5,631,0,0,0.68,0.19,0.21
1-0,5,632,2,2,0.08,0.21,0.84
1-0,5,633,1,1,0.14,0.56,0.31
1-0,5,634,1,1,0.16,0.54,0.38
1-0,5,635,2,1,0.18,0.49,0.36
1-0,5,636,2,1,0.17,0.44,0.42
1-0,5,637,0,0,0.83,0.08,0.26
1-0,5,638,0,0,0.76,0.15,0.24
1-0,5,639,2,2,0.20,0.25,0.65
1-0,5,640,0,0,0.83,0.09,0.22
1-0,5,641,2,2,0.17,0.38,0.46
1-0,5,642,1,2,0.25,0.31,0.42
1-0,5,643,0,0,0.67,0.18,0.23
1-0,5,644,0,0,0.85,0.08,0.24
1-0,5,645,1,1,0.16,0.52,0.27
1-0,5,646,0,0,0.70,0.19,0.20
1-0,5,647,0,0,0.86,0.08,0.20
1-0,5,648,0,0,0.85,0.10,0.17
1-0,5,649,2,2,0.08,0.20,0.83
1-0,5,650,2,2,0.19,0.40,0.40
1-0,5,651,2,2,0.21,0.09,0.82
1-0,5,652,2,2,0.13,0.15,0.80
1-0,5,653,0,0,0.88,0.10,0.13
1-0,5,654,2,2,0.17,0.36,0.48
1-0,5,655,1,1,0.13,0.49,0.39
1-0,5,656,0,0,0.78,0.10,0.20
1-0,5,657,0,0,0.71,0.16,0.22
1-0,5,658,1,1,0.14,0.52,0.33
1-0,5,659,2,2,0.18,0.40,0.45
1-0,5,660,0,0,0.88,0.10,0.14
1-0,5,661,2,2,0.13,0.15,0.81
1-0,5,662,0,0,0.80,0.10,0.20
1-0,5,663,0,0,0.88,0.10,0.13
1-0,5,664,1,1,0.22,0.43,0.35
1-0,5,665,1,1,0.21,0.48,0.32
1-0,5,666,1,1,0.15,0.59,0.25
1-0,5,667,0,0,0.77,0.18,0.19
1-0,5,668,1,1,0.13,0.63,0.27
1-0,5,669,1,1,0.15,0.55,0.30
1-0,5,670,1,1,0.14,0.58,0.28
1-0,5,671,0,0,0.78,0.18,0.13
1-0,5,672,0,0,0.85,0.15,0.13
1-0,5,673,1,1,0.15,0.60,0.26
1-0,5,674,2,2,0.19,0.18,0.74
1-0,5,675,1,1,0.14,0.71,0.18
1-0,5,676,1,1,0.13,0.70,0.29
1-0,5,677,2,2,0.17,0.20,0.74
1-0,5,678,1,1,0.13,0.74,0.17
1-0,5,679,0,0,0.84,0.15,0.14
1-0,5,680,1,1,0.11,0.76,0.20
1-0,5,681,0,0,0.68,0.32,0.12
1-0,5,682,2,2,0.18,0.43,0.51
1-0,5,683,1,1,0.13,0.69,0.30
1-0,5,684,2,2,0.06,0.33,0.79
1-0,5,685,2,1,0.15,0.57,0.33
1-0,5,686,0,0,0.84,0.11,0.17
1-0,5,687,2,1,0.15,0.52,0.38
1-0,5,688,2,1,0.14,0.47,0.44
1-0,5,689,1,1,0.22,0.39,0.37
1-0,5,690,2,2,0.16,0.31,0.66
1-0,5,691,1,1,0.12,0.63,0.27
1-0,5,692,2,2,0.15,0.13,0.83
1-0,5,693,1,1,0.11,0.56,0.36
1-0,5,694,1,1,0.09,0.70,0.28
1-0,5,695,0,0,0.85,0.17,0.10
1-0,5,696,1,1,0.11,0.70,0.22
1-0,5,697,2,1,0.12,0.55,0.42
1-0,5,698,2,2,0.14,0.33,0.67
1-0,5,699,0,0,0.82,0.09,0.23
1-0,6,0,1,2,0.23,0.57,0.60
1-0,6,1,1,1,0.22,0.60,0.56
1-0,6,2,1,1,0.22,0.63,0.52
1-0,6,3,0,1,0.18,0.60,0.54
1-0,6,4,2,2,0.14,0.56,0.58
1-0,6,5,0,2,0.16,0.55,0.62
1-0,6,6,0,2,0.22,0.41,0.53
1-0,6,7,1,1,0.27,0.48,0.45
1-0,6,8,1,1,0.24,0.50,0.38
1-0,6,9,0,1,0.19,0.54,0.47
1-0,6,10,0,1,0.27,0.47,0.38
1-0,6,11,0,1,0.30,0.43,0.35
1-0,6,12,0,1,0.29,0.43,0.38
1-0,6,13,0,1,0.33,0.39,0.35
1-0,6,14,0,0,0.42,0.33,0.30
1-0,6,15,1,0,0.45,0.36,0.23
1-0,6,16,1,0,0.45,0.42,0.19
1-0,6,17,0,0,0.41,0.38,0.27
1-0,6,18,2,1,0.35,0.37,0.29
1-0,6,19,0,0,0.38,0.37,0.31
1-0,6,20,1,0,0.48,0.38,0.25
1-0,6,21,2,1,0.34,0.36,0.30
1-0,6,22,1,0,0.42,0.40,0.27
1-0,6,23,0,0,0.39,0.39,0.27
1-0,6,24,1,0,0.41,0.40,0.22
1-0,6,25,2,1,0.30,0.32,0.24
1-0,6,26,0,0,0.39,0.38,0.28
1-0,6,27,0,0,0.42,0.29,0.28
1-0,6,28,1,0,0.44,0.39,0.21
1-0,6,29,1,1,0.41,0.41,0.22
1-0,6,30,1,1,0.44,0.53,0.21
1-0,6,31,0,1,0.38,0.45,0.22
1-0,6,32,1,1,0.44,0.50,0.18
1-0,6,33,2,1,0.38,0.48,0.21
1-0,6,34,1,1,0.39,0.54,0.22
1-0,6,35,1,1,0.36,0.53,0.19
1-0,6,36,2,1,0.24,0.47,0.29
1-0,6,37,0,1,0.32,0.45,0.25
1-0,6,38,2,1,0.26,0.41,0.31
1-0,6,39,1,1,0.35,0.52,0.25
1-0,6,40,1,1,0.33,0.51,0.22
1-0,6,41,1,1,0.31,0.59,0.23
1-0,6,42,1,1,0.29,0.58,0.21
1-0,6,43,1,1,0.28,0.58,0.18
1-0,6,44,2,1,0.18,0.53,0.31
1-0,6,45,1,1,0.25,0.57,0.27
1-0,6,46,2,1,0.23,0.56,0.26
1-0,6,47,1,1,0.24,0.59,0.24
1-0,6,48,0,1,0.23,0.52,0.27
1-0,6,49,2,1,0.24,0.51,0.26
1-0,6,50,2,1,0.25,0.32,0.26
1-0,6,51,0,1,0.24,0.43,0.34
1-0,6,52,2,1,0.27,0.28,0.27
1-0,6,53,2,1,0.23,0.41,0.34
1-0,6,54,1,1,0.25,0.46,0.32
1-0,6,55,1,1,0.22,0.44,0.33
1-0,6,56,1,1,0.23,0.51,0.26
1-0,6,57,0,1,0.19,0.49,0.39
1-0,6,58,0,1,0.25,0.43,0.32
1-0,6,59,0,1,0.28,0.36,0.34
1-0,6,60,1,1,0.28,0.45,0.24
1-0,6,61,0,1,0.31,0.42,0.27
1-0,6,62,0,1,0.31,0.40,0.30
1-0,6,63,2,1,0.30,0.33,0.22
1-0,6,64,0,2,0.32,0.30,0.34
1-0,6,65,0,0,0.41,0.25,0.28
1-0,6,66,0,0,0.46,0.28,0.27
1-0,6,67,1,0,0.49,0.40,0.18
1-0,6,68,1,1,0.41,0.41,0.19
1-0,6,69,0,0,0.40,0.38,0.25
1-0,6,70,1,0,0.44,0.42,0.21
1-0,6,71,1,1,0.39,0.47,0.17
1-0,6,72,0,0,0.43,0.33,0.22
1-0,6,73,0,0,0.47,0.31,0.21
1-0,6,74,2,0,0.37,0.30,0.19
1-0,6,75,0,0,0.45,0.37,0.24
1-0,6,76,0,0,0.54,0.25,0.22
1-0,6,77,0,0,0.57,0.24,0.21
